84504602700,59987145400,2022-06-04,2593525400.00
84504796400,59987911800,2022-05-31,2951564900.00
84504947700,59988107300,2022-06-19,2952150700.00
84505096300,59988266600,2022-04-19,2952302400.00
84505457300,59988426100,2022-07-20,2952452300.00
84505821300,59988579200,2022-06-01,2952608500.00
84506024200,59988735400,2022-06-29,2952762700.00
84506180100,59988894500,2022-05-28,2952917700.00
84506344000,59989038500,2022-06-19,2953069000.00
84506472800,59989193200,2022-04-28,2953231000.00
84506631600,59989346100,2022-04-21,2953387300.00
84506795600,59989498700,2022-05-05,2953536400.00
84506961700,59989656500,2022-04-16,2953690500.00
84507096900,59989814500,2022-05-02,2953841600.00
84507221500,59989953500,2022-08-08,2953991900.00
84507378200,59990115500,2022-05-03,2954142300.00
84507557800,59990268300,2022-04-20,2954292800.00
84507702000,59990419600,2022-05-28,2954435700.00
84507880200,59990548800,2022-04-22,2954589900.00
84508047000,59990689200,2022-05-27,2954728400.00
84508208800,59990817600,2022-08-04,2954853000.00
84508395700,59990935000,2022-05-06,2954983400.00
84508519900,59991074200,2022-06-03,2955108500.00
84508661700,59991205000,2022-06-19,2955212300.00
84508801000,59991309300,2022-08-12,2955316800.00
84508989700,59991418600,2022-06-22,2955419900.00
84509177600,59991532500,2022-06-23,2955529600.00
84509359200,59991639100,2022-06-07,2955640400.00
84509535300,59991745600,2022-06-29,2955720400.00
84509716500,59991825000,2022-05-10,2955800100.00
84509873600,59991912100,2022-07-22,2955879700.00
84510040800,59991997900,2022-04-25,2955959400.00
84510192900,59992077800,2022-07-12,2956039400.00
84513863500,59992157400,2022-05-12,2956119600.00
84514140100,59992237800,2022-06-01,2956199900.00
84514334200,59992330600,2022-04-19,2956279700.00
84514579200,59992407600,2022-06-26,2956359700.00
84514770900,59992485100,2022-06-27,2956439600.00
84514923000,59992562300,2022-06-19,2956522700.00
84515105200,59992639600,2022-07-06,2956604500.00
84515278600,59992716400,2022-08-08,2956683800.00
84515441100,59992793200,2022-05-16,2956763800.00
84515604000,59992870000,2022-06-02,2956844700.00
84515766000,59992973100,2022-08-11,2956925000.00
84515926700,59993053700,2022-08-07,2957004500.00
84516112400,59993185700,2022-05-09,2957083700.00
84516246300,59993309800,2022-07-04,2957163400.00
84516394900,59993542300,2022-05-03,2957244800.00
84516535800,59993687700,2022-07-15,2957324200.00
84516686700,59993833500,2022-04-23,2957405600.00
84516828300,59993983300,2022-06-22,2957489200.00
84516983600,59994083500,2022-06-18,2957571100.00
84517128300,59994163300,2022-04-19,2957651500.00
84517423300,59994241700,2022-05-04,2957731100.00
84517716800,59994320100,2022-06-21,2957810700.00
84518027400,59994398500,2022-07-08,2957890400.00
84518396000,59994476800,2022-05-16,2957970300.00
84518668900,59994554700,2022-04-16,2958050400.00
84518948600,59994665500,2022-07-20,2958130600.00
84519071800,59994785800,2022-05-30,2958211400.00
84519214700,59994911500,2022-06-14,2958335200.00
84519376400,59995034000,2022-06-26,2958487000.00
84519551800,59995155600,2022-04-29,2958607700.00
84519691300,59995278500,2022-07-22,2958691300.00
84519819700,59995396500,2022-07-10,2958772300.00
84519953000,59995518600,2022-04-27,2958854400.00
84520099700,59995640500,2022-07-25,2958935100.00
84520369700,59995758800,2022-07-03,2959016100.00
84520510500,59995874500,2022-05-24,2959096300.00
84520645600,59998616600,2022-06-24,2959177000.00
84520795800,59998759000,2022-04-20,2959257900.00
84520932800,59998917500,2022-06-11,2959340000.00
84521066400,59999080900,2022-06-10,2959420700.00
84521207100,59999212800,2022-06-29,2959504100.00
84521352900,59999373300,2022-05-10,2959618800.00
84521484000,59999533400,2022-07-15,2959702200.00
84521619800,59999692600,2022-06-15,2959782900.00
84521759800,59999853900,2022-05-23,2959865400.00
84521939600,60000013000,2022-07-27,2959948000.00
84522109800,60000174100,2022-08-06,2960028900.00
84525348200,60000336800,2022-06-02,2960110900.00
84525583800,60000505800,2022-04-15,2960191900.00
84525749000,60000683800,2022-08-14,2960273800.00
84525936900,60000806200,2022-06-12,2960354800.00
84526111800,60000907000,2022-05-25,2960436100.00
84526313600,60001087400,2022-06-30,2960529200.00
84526500700,60001326800,2022-06-11,2963349300.00
84526696000,60001707300,2022-06-07,2963436500.00
84526880900,60001936300,2022-05-02,2963521000.00
84527067600,60002272800,2022-06-25,2963605700.00
84527263700,60002409400,2022-07-09,2963688600.00
84527456500,60002533200,2022-07-18,2963771000.00
84527638700,60002661900,2022-06-14,2963901100.00
84527821100,60002795500,2022-04-22,2964024900.00
84528006200,60002903500,2022-06-09,2964153600.00
84528189300,60003325500,2022-06-28,2964309900.00
84528348500,60003645800,2022-05-20,2964456000.00
84528530200,60003759200,2022-06-18,2964584800.00
84528711400,60003915700,2022-06-23,2964744500.00
84528893200,60004061300,2022-04-17,2964901200.00
84529077500,60004195700,2022-04-26,2965055600.00
84529237900,60004334000,2022-04-28,2965215300.00
84529437400,60004478500,2022-05-25,2965376500.00
84529620100,60004635200,2022-07-06,2965531700.00
84529804900,60004776900,2022-07-18,2965692300.00
84529986500,60004914400,2022-06-18,2965850900.00
84530156900,60005070900,2022-06-08,2966011000.00
84530338600,60005202600,2022-04-28,2966168000.00
84530496800,60005422700,2022-05-23,2966322700.00
84530658800,60005584800,2022-06-13,2966470000.00
84530811000,60005710700,2022-07-19,2966611100.00
84530965500,60005803100,2022-05-29,2966754400.00
84531117900,60005909900,2022-04-16,2966897200.00
84531279400,60006077400,2022-06-28,2967024100.00
84531435700,60006222300,2022-04-18,2967150400.00
84531588700,60006355800,2022-04-28,2967280800.00
84531749000,60006495500,2022-06-30,2967404900.00
84531908600,60006631000,2022-06-17,2967557800.00
84532067000,60006759500,2022-05-13,2967700900.00
84532368100,60006849600,2022-04-17,2967828100.00
84532908900,60006954900,2022-07-08,2967932300.00
84533260100,60009653100,2022-06-04,2968035700.00
84536343500,60009785100,2022-05-19,2968115600.00
84536589600,60009909600,2022-06-23,2968195300.00
84536767000,60010058100,2022-08-05,2968275500.00
84536953700,60010206600,2022-05-30,2968355700.00
84537094800,60010315600,2022-04-21,2968435400.00
84537281200,60010453200,2022-06-01,2968519300.00
84537484000,60010551800,2022-05-15,2968602600.00
84537670300,60010638300,2022-07-22,2968683100.00
84537858700,60010751400,2022-04-23,2968763300.00
84538049500,60010867600,2022-06-01,2968843100.00
84538239500,60010972800,2022-07-27,2968923100.00
84538484500,60011089100,2022-07-13,2969003800.00
84538692400,60011201400,2022-08-03,2969083000.00
84538886500,60011310400,2022-04-20,2969162600.00
84539066900,60011421000,2022-06-08,2969241600.00
84539267700,60011530600,2022-06-08,2969321500.00
84539463200,60011646400,2022-07-05,2969402700.00
84539650200,60011729300,2022-07-01,2969486000.00
84539837800,60011824900,2022-06-18,2969567700.00
84540021500,60011918700,2022-05-01,2969648400.00
84540183500,60012029800,2022-04-19,2969728100.00
84540351800,60012108200,2022-08-04,2969807700.00
84540523400,60012191300,2022-04-28,2969887300.00
84540690700,60012280200,2022-08-08,2969967300.00
84540857700,60012411300,2022-06-26,2970046900.00
84541042000,60012520800,2022-04-19,2970126700.00
84541182000,60012612200,2022-05-15,2970206800.00
84541357000,60012698000,2022-06-12,2970286600.00
84541528200,60012779900,2022-04-23,2970366100.00
84541699400,60012900700,2022-05-12,2970445800.00
84541869900,60013009700,2022-05-18,2970635300.00
84542041400,60013103600,2022-05-05,2970726000.00
84542187400,60013183000,2022-06-16,2970807200.00
84542385500,60013263200,2022-07-20,2970888400.00
